lat,lon,id,date,time,timeflt,Vikt,Vims,Vokt,Voms,Vrkt,Vrx2ms,Vrms,Dnm,Dm,Sr,Srx1000,rangenm,site,class,dmg,type,terr,other
36.81667,-119.7,5240955,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,150000,Landspout,Central Valley,"Based on radar, seems that the tornado occurred an hour before the report said. There is a linear-ish thunderstorm moving into a N-S oriented boundary, with limited discernable rotation near the location stated in the report."
34.9,-114.61667,5268077,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F1,0,?,Mojave Desert,Radar went down a few hours before tornado.
34.13333,-116.31667,5256791,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,10000,?,Mojave Desert,KEYX which had the best chance has no data. Other sites had a thunderstorm but it was too far away/in a radar hole.
36.93333,-120.11667,5290868,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F1,130000,Probably Landspout,Central Valley,"Notes state converging OFBs. No convection in Madera area at 15:00 local, but thunderstorms are around. Radar images +/- 2hrs show thunderstorms but no clear velocity signatures."
36.63333,-118.35,5405920,38175,22:29,0.936805556,-6.8,-3.4982192,12.6,6.4819944,9.7,9.9802136,4.9901068,1.08,2000.16,0.004989708,4.989707623,65.23,KHNX,F0,0,Mini-Supercell,Sierra,"IMPORTANT: Lowest tilt KHNX runs into side of Sierra Nevada, so used a higher tilt, 2.4 degrees. This is a very high altitude tornado, but a deep, but weak mesocyclone on multiple tilts supports the idea that it is a supercell tornado nonetheless."
34.3,-116.55,5418492,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,0,Probably Landspout,Mojave Desert,KEYX which had the best chance has no data. Other sites had a thunderstorm but it was too far away/in a radar hole. KYUX saw a boundary moving south so maybe a landspout?
34.41667,-117.56667,5418491,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,0,Probably Landspout,Mojave Desert,"Similar to above. Plus, this also occurred in an area where landspouts are fairly common."
36.48333,-119.31667,5426007,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,0,?,Central Valley,"Hard to tell what's going on here. No clear velocity signature, which evidences a landspout. However, I don't see any boundaries in the area, and the storms look favorable sheared. Best to just omit this one."
38.56667,-121.4,5478631,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,0,Mini-Supercell,Central Valley,Pair of NW moving tornadoes that hit the sac metro area. No radar data from KDAX and KBBX and KMUX is too far.
38.61667,-121.46667,5478630,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,650000,Mini-Supercell,Central Valley,Pair of NW moving tornadoes that hit the sac metro area. No radar data from KDAX and KBBX and KMUX is too far.
