EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5229860,ORANGE CO.,ORANGE,2/24/2001,1350,Tornado, ,F0,0,0,50000,0,CA,PST, ,1110733,C,59,SGX,0,0,LAW ENFORCEMENT, ,0.1,100,1,S,1,S,ORANGE,2/24/2001,1351,33.78333,-117.83333,33.78333,-117.83333,"Witnesses reported hearing a loud roaring sound like a freight train, followed by 45 seconds of intense wind and heavy rain. A funnel cloud was sighted in the area following the wind damage. Damage consisted of roof shingles, skylights, and metal awnings being ripped off six structures, two 10 ft. by 15 ft. roll-up doors being blown in, several wooden fences knocked down, as well as telephone wires. An NWS meteorologist conducting a damage survey noted a cyclonic pattern in the debris.",,1
5240955,FRESNO CO.,CLOVIS,4/7/2001,1858,Tornado, ,F0,0,0,150000,0,CA,PST, ,1113654,C,19,HNX,0,0,NWS STORM SURVEY, ,0.3,10, , , , ,CLOVIS,4/7/2001,2003,36.81667,-119.7,36.81667,-119.7,"Post storm analysis and evaluation yielded a 0.3 mile swath for a small F0 tornado through an older, residential neighborhood of Clovis, CA, 2 miles northeast of the Fresno Air Terminal.  No injuries were reported with damage essentially limited to uprooted trees, roof, small structure, and fence damage.  Confirmation was determined by damage evidence and eyewitness reports.  Interesting Note:  One of the uprooted trees was a replacement from its predecessor damaged from the 1980 Fresno Air Terminal tornado!",,2
5268077,SAN BERNARDINO CO.,(EED)NEEDLES ARPT,4/21/2001,1135,Tornado, ,F1,0,0,0,0,CA,PST, ,1123268,C,71,VEF,0,0,LAW ENFORCEMENT, ,1,50,9,N,9,N,(EED)NEEDLES ARPT,4/21/2001,1137,34.9,-114.61667,34.91667,-114.61667,"A small tornado was spotted over open terrain near the three state junction over the Colorado River. This tornado then moved into Clark County, Nevada",,3
5256791,SAN BERNARDINO CO.,JOSHUA TREE,7/7/2001,1245,Tornado, ,F0,0,0,10000,0,CA,PST, ,1118819,C,71,VEF,0,0,FIRE DEPT/RESCUE SQUAD, ,1,0.5, , , , ,JOSHUA TREE,7/7/2001,1249,34.13333,-116.31667,34.13333,-116.31667,A tornado touched down in Joshua Tree causing minor damage to homes and businesses. The most significant damage reports included damage to a roof of an abandoned house and a patio cover torn off another home.,,4
5272386,SANTA BARBARA CO.,SANTA MARIA,11/29/2001,1100,Tornado, ,F0,0,0,0,0,CA,PST, ,1124698,C,83,LOX,0,0,NEWSPAPER, ,0.1,2, , , , ,SANTA MARIA,11/29/2001,1103,34.95,-120.43333,34.95,-120.43333,"A weak tornado struck in the northeast section of the community of Santa Maria. The tornado caused minor damage to three homes, but no one was injured.",,5
5273773,SANTA CRUZ CO.,WATSONVILLE MUNI ARP,12/20/2001,1645,Tornado, ,F1,0,0,250000,0,CA,PST, ,1125368,C,87,MTR,0,0,EMERGENCY MANAGER, ,0.5,60,2,N,2,N,WATSONVILLE MUNI ARP,12/20/2001,1650,36.96667,-121.78333,36.96667,-121.75,"A minor tornado was spawned from a line of convection across the Monterey bay that went ashore near Watsonville CA. The storm downed a power line by snapping off four poles, destroyed a green house and some trailers, then about a half a mile to the east tore the off off a barn as well as downing some mateure ( 5 feet in diameter) euclyptus trees.",,6
5273933,LOS ANGELES CO.,WALNUT,12/21/2001,40,Tornado, ,F0,0,0,0,0,CA,PST, ,1125304,C,37,LOX,0,0,NEWSPAPER, ,0.1,10, , , , ,WALNUT,12/21/2001,50,34.01667,-117.86667,34.01667,-117.86667,"In the community of Walnut, a weak tornado touched down in the early morning hours. Several homes sustained minor roof damage and about 30 trees were knocked down. No injuries were reported.",,7
5290868,MADERA CO.,MADERA MUNI ARPT,5/20/2002,1459,Tornado, ,F1,0,0,130000,0,CA,PST, ,1134415,C,39,HNX,0,0,NWS STORM SURVEY, ,2.7,40,4,S,4,S,MADERA MUNI ARPT,5/20/2002,1520,36.93333,-120.11667,36.93333,-120.05,"This tornado occurred from the explosive development of a cell along neighboring cells' outflow boundary convergence. The tornado track on the ground was 2.675 miles and mostly F0 in intensity and as wide as 100 yards. It began relatively weak, peeling roofs off from farm structures, downing trees and fencing, but engulfing a well-built structure with minimal damage.  However, a 1/4-mile stretch reached F1 intensity as it totally demolished a small farm structure toward the end of its run and was narrowed to a 40-yard path width at that point. The tornado occurred essentially in a rural area of south Madera, tracked west-to-east, but finished with a sweep toward the southeast.",The thunderstorm that supported a tornado at approximately 1500 PST also brought very large hail and locally heavy rain to areas to the north and north-northeast of Madera and the tornado track area.,8
5324662,MERCED CO.,MERCED ARPT,12/16/2002,1240,Tornado, ,F1,0,0,400000,0,CA,PST, ,1146368,C,47,HNX,0,0,OFFICIAL NWS OBS., ,1.3,45,4,N,4,N,MERCED ARPT,12/16/2002,1245,37.33333,-120.51667,37.35,-120.48333,,"From low-topped convection, a short duration tornado touched down northwest of Merced California on the 16th and had a discernible damage track of 1.25 miles.  The tornado dissipated but the parent cell...after a distance of about 3 miles...generated another weak tornado (with a noticable condensation funnel). This tornado was reported to have traveled about one mile over pasture land before dissipating. At its most intense, this cell spawned F1 Tornado damage for 3/8-mile when it lifted a roof from a house and carport and caused damage to various light structures along its path.  There were no injuries or fatalities despite residents at home when the roof lifted from a house along Highway 59 near mid-day.  Additionally, locally heavy rain occurred over a 3-day period accumulating a 1.87 precipitation total causing local urban flooding problems due to clogged storm drains in the city of Merced (16th Street west of 'V' and 18th and Canal Streets).""",9
5324664,MERCED CO.,MERCED ARPT,12/16/2002,1250,Tornado, ,F0,0,0,0,0,CA,PST, ,1146368,C,47,HNX,0,0,GENERAL PUBLIC, ,1,45,6,NE,6,NE,MERCED ARPT,12/16/2002,1255,37.35,-120.43333,37.36667,-120.41667,,"From low-topped convection, a short duration tornado touched down northwest of Merced California on the 16th and had a discernible damage track of 1.25 miles.  The tornado dissipated but the parent cell...after a distance of about 3 miles...generated another weak tornado (with a noticable condensation funnel). This tornado was reported to have traveled about one mile over pasture land before dissipating. At its most intense, this cell spawned F1 Tornado damage for 3/8-mile when it lifted a roof from a house and carport and caused damage to various light structures along its path.  There were no injuries or fatalities despite residents at home when the roof lifted from a house along Highway 59 near mid-day.  Additionally, locally heavy rain occurred over a 3-day period accumulating a 1.87 precipitation total causing local urban flooding problems due to clogged storm drains in the city of Merced (16th Street west of 'V' and 18th and Canal Streets).""",10
